date,username,post
2023-03-26 06:25:42+00:00,hellraisinhardass,"Yep, those won't last a day with road sludge full of salt."
2023-03-26 06:25:33+00:00,MrCuzz,The US military has tried to find appropriate replacements for bunny boots multiple times but keeps coming back to the same design. They work.
2023-03-26 06:24:30+00:00,hellraisinhardass,"I respectfully disagree on the Keens based on my experience-   I love Keen hiking boots, they are my summer hiking boots.  Their winter boots are poorly insulated and the soles get so frozen they break (and are *very* slick).  I should mention that I'm referring to their safety toe boots about 8-5 years ago.  Maybe their other/newer lines are better.  But every person I know that tried the winter Keen boots ended up with split soles, they literally snap in halfway if you squat down in them when it's colder than about 0F."
2023-03-26 06:24:18+00:00,MrCuzz,Black bunny boots; the ones only rated to -20F. When I do the driveway my feet are the warmest part of my body and dry at the same time.
2023-03-26 06:24:15+00:00,PlaysWithTren,"""The communities of Juneau, Sitka, downtown and midtown Anchorage, the areas surrounding the college/University of Alaska Fairbanks campus and Ester and the ""Alaska Bush"" – rural, sparsely populated Alaska – stand out as Democratic strongholds, while the Kenai Peninsula, Matanuska-Susitna Valley, parts of Anchorage, and Fairbanks (including North Pole and Eielson Air Force Base), Ketchikan, Wrangell, and Petersburg serve as the Republican Party electoral base. Over half of all registered voters have chosen ""Non-Partisan"" or ""Undeclared"" as their affiliation,\[5\] the only state where that is the case.""  


Relevant Wiki Quote.  Interesting they called out Ketchikan/Wrangell/Petersburg as ketchikan is relevant, petersburg and wrangell are irrelevant versus bethel nome barrow ETC."
2023-03-26 06:18:25+00:00,PlaysWithTren,"Are there any resources that explain or expand upon why Southeast Alaska is known as being the progressive region of the State?  I am from Juneau so I have my thoughts/beliefs, but was interested to know if there's been any research.  I grew up in the region so I can make an essay on my beliefs but I felt it was best to learn if there's better information.  


If there is research/articles that cover the whole state, I'd be happy to see that as well.   Thank you"
2023-03-26 06:09:43+00:00,DaisiesSunshine76,I wear boggs arcata boots and they're amazing. I never have cold feet.
2023-03-26 06:06:38+00:00,verdenvidia,probably crawlers of some kind on image search
2023-03-26 06:03:32+00:00,Dogman_frosty,Summer is just pre dark season readiness time
2023-03-26 06:00:16+00:00,SmithAir907,Mt View
2023-03-26 05:44:45+00:00,WorstTourGuideinAk,"The Seattle zoo has monkeys, that’s the closest and cheapest option available."
2023-03-26 05:35:32+00:00,rocksforjockss,What the actual fuck
2023-03-26 05:32:05+00:00,Alaskerian,"I enjoyed the books on Jesus and JFK, though not the Lincoln one, so may check it out."
2023-03-26 05:14:55+00:00,[deleted],[removed]
2023-03-26 05:10:35+00:00,[deleted],[removed]
2023-03-26 04:56:54+00:00,AkJunkshow,I went to Costa Rica.
2023-03-26 04:46:56+00:00,Tinge32,...XtRaTuFS
2023-03-26 04:36:41+00:00,paddlepirate,"Yeah, loike it's noine tee noine tee noin!"
2023-03-26 04:22:48+00:00,phdoofus,"So basically if you raise taxes on them, someone will take their place because someone recognizes the chance to make money, even if it isn't the ludicrous profits BP made before."
2023-03-26 04:21:13+00:00,phdoofus,There's always somebody.
2023-03-26 04:07:54+00:00,midnightmeatloaf,"We should require all out of state posters to share which state they're in, so we can bombard them with equally stupid questions in the comments.


VERMONT, EH? DO YOUR CARS RUN ON MAPLE SYRUP?

OHHH NEW MEXICO? HAVE YOU BEEN TO THE BREAKING BAD HOUSE? DO THEY REALLY CHASE YOU OFF WITH ASSAULT RIFLES IF YOU THROW PIZZA ON THEIR ROOF?

OOOOH MICHIGAN? CAN YOU SWIM ACROSS LAKE SUPERIOR?!"
2023-03-26 04:05:40+00:00,mister_0s0,"I just wear my doc martens, the tactical kind"
2023-03-26 04:00:52+00:00,[deleted],[removed]
2023-03-26 03:55:15+00:00,Existing_Departure82,I also have to ask how you plan on enforcing this policy?  Will we be subjecting Alaskans to birth certificate checks every single time there is a dominant female athlete playing in local High Schools or colleges?
2023-03-26 03:47:18+00:00,AKStafford,Ask the unicorns.
2023-03-26 03:41:13+00:00,Existing_Departure82,Not a great place to keep them for any reason whatsoever.   Are you a resident of AK looking for something close?  You can pop down to Seattle and check out Woodland Park Zoo.
2023-03-26 03:41:01+00:00,CovidianKnight,"Caribou or seal skin water tight mukluks lined with lynx , wolf or coyote"
