date,username,post
2023-03-26 06:01:35+00:00,Dramatic-Ad7192,"See if you just want animal kingdom anarchy rule over all wilderness, then that’s a not-uncommon opinion to have. I don’t think we’ll ever be able to come to an understanding.

However why stop there? Why not give back all land to the wilderness too? After all, wilderness is better at protecting itself than humans are, right?"
2023-03-26 05:42:53+00:00,Due-Fig6789,Hippies all around me
2023-03-26 05:28:08+00:00,MookSkywalker,Looks like a Bob Ross
2023-03-26 05:15:58+00:00,[deleted],[removed]
2023-03-26 04:46:43+00:00,sumfish,"Huh, I expected the Rocky Mountains to be a little rockier than this…"
2023-03-26 04:34:10+00:00,pacard,A fair view
2023-03-26 04:34:00+00:00,syncsynchalt,"Yep, this is the actual answer. https://en.wikipedia.org/wiki/Alpenglow"
2023-03-26 04:31:21+00:00,[deleted],[removed]
2023-03-26 04:15:34+00:00,MrHankRutherfordHill,We visited Woodland Park over spring break. Cool little town! We had a great time.
2023-03-26 04:11:40+00:00,swearbynow,Boulder lookin like Brazil....
2023-03-26 04:09:01+00:00,m0ndayisb0ng0day,"Tested out my new Keep Colorado Wild Pass and visited Mueller for the first time the other day =] 

I captured this while we were parked for a bit and thought it was worthy of sharing. Enjoy ❤"
2023-03-26 03:53:17+00:00,Public-Ad-1553,I mean personally I would call it a mountain but Boulder works too
2023-03-26 03:38:36+00:00,jesusmansuperpowers,Not likely given Colorado Springs will get a say in it.
2023-03-26 03:37:23+00:00,Weary-Pineapple-5974,"Santa, why does it snow?"
2023-03-26 03:13:49+00:00,stellasjb,Assholes!!  I live in Colorado and born and raised in Michigan.  What state is next Alaska?  The fine needs to be 10k per person. 😡🤬🤬
2023-03-26 02:42:08+00:00,Meig03,Alpenglow
2023-03-26 02:42:02+00:00,Liet-Kinda,I hope it gets the Denali treatment.  Tava is a much more fitting name and one with deeper historical and cultural roots.
2023-03-26 02:41:47+00:00,[deleted],[removed]
2023-03-26 02:35:01+00:00,DearSurround8,Light bending through the atmosphere and dust.
2023-03-26 02:32:19+00:00,justyouraveragedude1,This is why I’ve always said fuck winter. Summer is where it’s at
2023-03-26 02:30:45+00:00,mfdonuts,My hometown 💛
2023-03-26 02:26:40+00:00,Ramblindragon,Pollution
2023-03-26 02:00:20+00:00,DanoPinyon,This and unobstructed horizon to the east.
2023-03-26 01:50:57+00:00,MNtoCO,I’m pretty sure that was Long Lake
2023-03-26 01:48:25+00:00,[deleted],[removed]
2023-03-26 01:46:58+00:00,[deleted],[removed]
2023-03-26 01:45:59+00:00,[deleted],[removed]
2023-03-26 01:43:54+00:00,CUBuffs1992,"That John Denver is full of shit, man."
2023-03-26 01:43:28+00:00,aimessss,Which lake is that?
2023-03-26 01:38:18+00:00,BroderUlf,Sun dogs
2023-03-26 01:38:12+00:00,[deleted],[removed]
2023-03-26 01:38:09+00:00,Orange_Tang,Holy saturation.
2023-03-26 01:21:40+00:00,[deleted],[removed]
2023-03-26 01:13:47+00:00,jotabe303,Do you have a nice view of I-70?
2023-03-26 01:13:13+00:00,greenwavelengths,"Sometimes god feels a little fruity so he fills the air with particulate matter (smoke, smog, water, you name it) which scatters the photons as they pass through the lower atmosphere, filtering out the high wavelengths of light (purples and blues) because they can’t navigate around all that business, leaving only the low wavelengths (yellows and reds) to bounce off of the mountain and back to your eyes and camera."
2023-03-26 01:11:58+00:00,QueenCassie5,The standing stones with lyrics on it were some of my favorite.
2023-03-26 00:54:40+00:00,Meig03,"Oh, I much prefer this name!"
2023-03-26 00:53:43+00:00,El-Cucuy77,
2023-03-26 00:53:32+00:00,Five-Point-5-0,Red light and atmospheric haze.
2023-03-26 00:53:01+00:00,Few_Mountain8093,
2023-03-26 00:52:08+00:00,Significant-Plant637,
