date,username,post
2023-03-26 06:11:16+00:00,simplextra,Absolutely ignore the second O
2023-03-26 06:10:56+00:00,simplextra,Only the old ones
2023-03-26 04:42:27+00:00,Onthemightof,“How Stun” for Houston St NYC
2023-03-26 04:17:01+00:00,KiltedMan,"Same. Inexpensive body work suggestions, if possible, please."
2023-03-26 03:41:07+00:00,TripleTune,"Smeerna (Smyrna)

My favorite was two little old ladies in Walgreens talking about how much they loved the mot area. Not M.O.T., but mot, like not."
2023-03-26 03:40:20+00:00,MonsieurRuffles,No strong feelings on the pork roll but my Delaware native wife oddly calls it Taylor ham after her Atlanta-bred mother who apparently learned it from her MD-born father who we speculate may have acquired it from North Jersey colleagues when he worked for a railroad.
2023-03-26 03:39:31+00:00,wynsoles,Looking for a car detailer around Bear/Middletown area but if there’s any good shops all the way up to Hockessin feel free
2023-03-26 03:30:59+00:00,Darkderkphoenix,"Native South Jerseyan here. My friend may be a New Yorker in my mind, and wrong about what they call pork roll, but we also pronounce Newark, NJ as Noork"
2023-03-26 03:29:40+00:00,ButACake,Is getting a medical card in DE that hard? Why drive to NJ over local? (I’m from out of state)
2023-03-26 03:29:07+00:00,NoNoSoupForYou,"I, too, file on TaxAct.  Now, if they would just give me the $576 they have owed me since January, that would be great!"
2023-03-26 03:20:17+00:00,firstfewdreamers,"Concord? Really? How do you normally hear it pronounced? I used live near Concord Pike and we pronounced it""Con-curd""."
2023-03-26 03:02:30+00:00,intendingtoburn,"There's one about 30 miles east of Columbus OH. The real deep townies say ""nerk"""
2023-03-26 02:54:56+00:00,wkuace,"same here in Kentucky, I forgot there was one up in Ohio, heck I forget about the one in Kentucky and only really remember the one in Tennessee until I saw a sign on the highway the other day."
2023-03-26 02:51:38+00:00,intendingtoburn,How do they pronounce Versailles down there? In Ohio they say ver-sales
2023-03-26 02:51:17+00:00,buttcheeksunite,Eco Dental in Newark does
2023-03-26 02:28:57+00:00,raisingragamuffins,Free parking until May 15th. I assume he moves often enough to not be parked longer than whatever is ordained (if there is even anything). I’ve noticed he cruises a bit then comes back to the same spot.
2023-03-26 02:27:10+00:00,_cr0001,Did that the day I took delivery! I wish the Rivians were eligible for that rebate.
2023-03-26 02:16:35+00:00,likeytho,Wuh-der
2023-03-26 02:14:26+00:00,likeytho,"Absolutely, had to teach my husband this one before he said it in public"
2023-03-26 01:58:33+00:00,DevonFromAcme,Harrington
2023-03-26 01:51:07+00:00,keyjan,"Actually I was standing in front of it today, and what I said —out loud— was “Asshole.”"
2023-03-26 01:48:32+00:00,Apricotpeach11,LOL yes I think people who aren’t local want to say “Hock-es-sin” instead of “Ho-kess-in”
2023-03-26 01:04:05+00:00,C_Majuscula,Yep
2023-03-26 00:25:35+00:00,[deleted],[removed]
2023-03-26 00:23:33+00:00,notprescribed,To be fair out of town students get it right
2023-03-26 00:19:00+00:00,petebmc,I prefer whoreskill
2023-03-26 00:10:50+00:00,[deleted],[removed]
2023-03-25 23:31:04+00:00,GreggyFresh0922,"There’s a place in Virginia called Powhite.  I’ve heard two pronunciations.  In order to not offend some, what is correct??"
2023-03-25 23:29:10+00:00,Snayyke,"https://m.facebook.com/story.php?story_fbid=pfbid0z36capNrUmCzQQbjTSLoT4SPPaF5NH1VcC72p9ZYT1LD8ZKoApddygBCBf1kDzSzl&amp;id=1729565300650071&amp;mibextid=qC1gEa

This?"
2023-03-25 22:56:49+00:00,ReadWayneDavids,"Hell, just Maryland. Ever hear someone from the midwest pronunce? That put about eleven sylabbles in it"
2023-03-25 22:32:06+00:00,bumbo_hole,Dagsboro
2023-03-25 21:38:01+00:00,[deleted],[removed]
2023-03-25 21:37:21+00:00,[deleted],[removed]
2023-03-25 21:20:49+00:00,Toyotafan123,It will be Sherry Freeberry 2.0
2023-03-25 21:18:11+00:00,NoNoSoupForYou,Avalon Dental in Newport did as of 2020.  I had a good experience with them.
2023-03-25 21:10:53+00:00,[deleted],[removed]
2023-03-25 21:03:33+00:00,DelawareHam,"Houston, Delaware"
2023-03-25 20:46:45+00:00,jesseberdinka,"Wilmington. Sure you can pronounce it Wilmington, but 8n Sussex we say Woolminton"
2023-03-25 20:44:25+00:00,jesseberdinka,"Harrington. Locals pronounce it ""Hairn-tin"""
2023-03-25 20:33:34+00:00,de1casino,Yawn.  Boring.
2023-03-25 20:31:49+00:00,Mathemadicks,Wilkes-Barre
